timestamp,hardware_id,comparison_mode,backend,backend_version,model,architecture,total_params,active_params,quantization,track_id,track_type,input_tokens,max_tokens,run_number,run_status,ttft_ms,prefill_tps,gen_tps,total_latency_s,output_tokens,hit_rate,peak_memory_gb,cpu_temp_celsius,context_window,prefill_tps_source,actual_runs,cpu_power_w,gpu_power_w,efficiency_tps_per_w,peak_memory_method,schema_version
2026-04-05T14:40:28.801412,linux-5950x-3090x2,A,vllm,ERROR 04-05 14:38:24 [gpt_oss_triton_kernels_moe.py:64] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: cannot import name 'SparseMatrix' from 'triton_kernels.tensor' (),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-512,generation,64,512,1,ok,41.13,1556.04,83.8,6.151,512,1.0,45.1,76.0,262144,ttft_estimate,5,-1.0,663.09,0.1264,gpu_smi,3
2026-04-05T14:40:40.270567,linux-5950x-3090x2,A,vllm,ERROR 04-05 14:38:24 [gpt_oss_triton_kernels_moe.py:64] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: cannot import name 'SparseMatrix' from 'triton_kernels.tensor' (),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-512,generation,64,512,2,ok,50.44,1268.83,83.65,6.171,512,1.0,45.1,65.25,262144,ttft_estimate,5,-1.0,228.83,0.3656,gpu_smi,3
2026-04-05T14:40:51.745950,linux-5950x-3090x2,A,vllm,ERROR 04-05 14:38:24 [gpt_oss_triton_kernels_moe.py:64] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: cannot import name 'SparseMatrix' from 'triton_kernels.tensor' (),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-512,generation,64,512,3,ok,49.81,1284.88,83.58,6.176,512,1.0,45.1,66.0,262144,ttft_estimate,5,-1.0,232.99,0.3587,gpu_smi,3
2026-04-05T14:41:03.227057,linux-5950x-3090x2,A,vllm,ERROR 04-05 14:38:24 [gpt_oss_triton_kernels_moe.py:64] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: cannot import name 'SparseMatrix' from 'triton_kernels.tensor' (),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-512,generation,64,512,4,ok,46.87,1365.48,83.54,6.176,512,1.0,45.1,64.375,262144,ttft_estimate,5,-1.0,235.76,0.3543,gpu_smi,3
2026-04-05T14:41:14.703888,linux-5950x-3090x2,A,vllm,ERROR 04-05 14:38:24 [gpt_oss_triton_kernels_moe.py:64] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: cannot import name 'SparseMatrix' from 'triton_kernels.tensor' (),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-512,generation,64,512,5,ok,46.99,1361.99,83.55,6.175,512,1.0,45.1,64.375,262144,ttft_estimate,5,-1.0,236.55,0.3532,gpu_smi,3
2026-04-05T14:44:44.886752,linux-5950x-3090x2,A,vllm,ERROR 04-05 14:38:24 [gpt_oss_triton_kernels_moe.py:64] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: cannot import name 'SparseMatrix' from 'triton_kernels.tensor' (),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-8192,generation,64,8192,1,ok,42.01,1523.45,82.4,99.455,8192,1.0,45.1,80.25,262144,ttft_estimate,5,-1.0,679.99,0.1212,gpu_smi,3
2026-04-05T14:46:29.761346,linux-5950x-3090x2,A,vllm,ERROR 04-05 14:38:24 [gpt_oss_triton_kernels_moe.py:64] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: cannot import name 'SparseMatrix' from 'triton_kernels.tensor' (),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-8192,generation,64,8192,2,ok,49.81,1284.88,82.3,99.585,8192,1.0,45.1,72.875,262144,ttft_estimate,5,-1.0,251.76,0.3269,gpu_smi,3
2026-04-05T14:48:14.669875,linux-5950x-3090x2,A,vllm,ERROR 04-05 14:38:24 [gpt_oss_triton_kernels_moe.py:64] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: cannot import name 'SparseMatrix' from 'triton_kernels.tensor' (),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-8192,generation,64,8192,3,ok,47.29,1353.35,82.27,99.617,8192,1.0,45.1,72.375,262144,ttft_estimate,5,-1.0,253.07,0.3251,gpu_smi,3
2026-04-05T14:49:59.578647,linux-5950x-3090x2,A,vllm,ERROR 04-05 14:38:24 [gpt_oss_triton_kernels_moe.py:64] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: cannot import name 'SparseMatrix' from 'triton_kernels.tensor' (),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-8192,generation,64,8192,4,ok,46.85,1366.06,82.28,99.613,8192,1.0,45.1,75.5,262144,ttft_estimate,5,-1.0,253.52,0.3246,gpu_smi,3
2026-04-05T14:51:44.492175,linux-5950x-3090x2,A,vllm,ERROR 04-05 14:38:24 [gpt_oss_triton_kernels_moe.py:64] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: cannot import name 'SparseMatrix' from 'triton_kernels.tensor' (),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-8192,generation,64,8192,5,ok,49.26,1299.23,82.28,99.617,8192,1.0,45.1,74.75,262144,ttft_estimate,5,-1.0,254.3,0.3236,gpu_smi,3
