timestamp,hardware_id,comparison_mode,backend,backend_version,model,architecture,total_params,active_params,quantization,track_id,track_type,input_tokens,max_tokens,run_number,run_status,ttft_ms,prefill_tps,gen_tps,total_latency_s,output_tokens,hit_rate,peak_memory_gb,cpu_temp_celsius,context_window,prefill_tps_source,actual_runs,cpu_power_w,gpu_power_w,efficiency_tps_per_w,peak_memory_method,schema_version
2026-04-07T09:43:48.045839,dgx-spark,A,vllm,unknown,qwen3.5-27b,dense,27B,27B,Q4_K_M,prefill-64k,prefill,65536,10,1,ok,43062.33,1521.89,8.8,44.199,10,-1.0,0.0,54.8,262144,ttft_estimate,5,-1.0,25.92,0.3395,gpu_smi,3
2026-04-07T09:44:37.666168,dgx-spark,A,vllm,unknown,qwen3.5-27b,dense,27B,27B,Q4_K_M,prefill-64k,prefill,65536,10,2,ok,43193.31,1517.27,8.79,44.33,10,-1.0,0.0,56.0,262144,ttft_estimate,5,-1.0,10.87,0.8086,gpu_smi,3
2026-04-07T09:45:27.364826,dgx-spark,A,vllm,unknown,qwen3.5-27b,dense,27B,27B,Q4_K_M,prefill-64k,prefill,65536,10,3,ok,43271.79,1514.52,8.78,44.411,10,-1.0,0.0,59.3,262144,ttft_estimate,5,-1.0,11.24,0.7811,gpu_smi,3
2026-04-07T09:46:17.114747,dgx-spark,A,vllm,unknown,qwen3.5-27b,dense,27B,27B,Q4_K_M,prefill-64k,prefill,65536,10,4,ok,43324.54,1512.68,8.78,44.464,10,-1.0,0.0,62.0,262144,ttft_estimate,5,-1.0,11.52,0.7622,gpu_smi,3
2026-04-07T09:47:06.901234,dgx-spark,A,vllm,unknown,qwen3.5-27b,dense,27B,27B,Q4_K_M,prefill-64k,prefill,65536,10,5,ok,43358.44,1511.49,8.79,44.497,10,-1.0,0.0,64.1,262144,ttft_estimate,5,-1.0,11.75,0.7481,gpu_smi,3
2026-04-07T09:48:14.243768,dgx-spark,A,vllm,unknown,qwen3.5-27b,dense,27B,27B,Q4_K_M,prefill-1k,prefill,1024,10,1,ok,820.53,1247.97,9.5,1.873,10,-1.0,0.0,58.7,262144,ttft_estimate,5,-1.0,28.18,0.3371,gpu_smi,3
2026-04-07T09:48:21.396371,dgx-spark,A,vllm,unknown,qwen3.5-27b,dense,27B,27B,Q4_K_M,prefill-1k,prefill,1024,10,2,ok,819.07,1250.2,9.49,1.872,10,-1.0,0.0,53.9,262144,ttft_estimate,5,-1.0,10.65,0.8911,gpu_smi,3
2026-04-07T09:48:28.553361,dgx-spark,A,vllm,unknown,qwen3.5-27b,dense,27B,27B,Q4_K_M,prefill-1k,prefill,1024,10,3,ok,823.54,1243.41,9.52,1.874,10,-1.0,0.0,53.8,262144,ttft_estimate,5,-1.0,10.6,0.8981,gpu_smi,3
2026-04-07T09:48:35.712471,dgx-spark,A,vllm,unknown,qwen3.5-27b,dense,27B,27B,Q4_K_M,prefill-1k,prefill,1024,10,4,ok,819.58,1249.42,9.49,1.874,10,-1.0,0.0,53.8,262144,ttft_estimate,5,-1.0,10.49,0.9047,gpu_smi,3
2026-04-07T09:48:42.867380,dgx-spark,A,vllm,unknown,qwen3.5-27b,dense,27B,27B,Q4_K_M,prefill-1k,prefill,1024,10,5,ok,822.94,1244.32,9.5,1.875,10,-1.0,0.0,53.4,262144,ttft_estimate,5,-1.0,10.53,0.9022,gpu_smi,3
