timestamp,hardware_id,comparison_mode,backend,backend_version,model,architecture,total_params,active_params,quantization,track_id,track_type,input_tokens,max_tokens,run_number,run_status,ttft_ms,prefill_tps,gen_tps,total_latency_s,output_tokens,hit_rate,peak_memory_gb,cpu_temp_celsius,context_window,prefill_tps_source,actual_runs,cpu_power_w,gpu_power_w,efficiency_tps_per_w,peak_memory_method,schema_version
2026-04-06T00:56:49.077579,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-128k,prefill,131072,10,1,ok,64982.59,1265.88,26.51,64.983,10,-1.0,5.51,74.1,262144,native,5,-1.0,22.33,1.1872,rss_delta,3
2026-04-06T00:57:58.042142,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-128k,prefill,131072,10,2,ok,63661.0,1290.68,26.82,63.661,10,-1.0,5.51,81.6,262144,native,5,-1.0,26.74,1.003,rss_delta,3
2026-04-06T00:59:07.807634,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-128k,prefill,131072,10,3,ok,64465.33,1273.65,26.1,64.465,10,-1.0,5.51,80.8,262144,native,5,-1.0,23.89,1.0925,rss_delta,3
2026-04-06T01:00:17.268813,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-128k,prefill,131072,10,4,ok,64166.61,1279.79,26.92,64.167,10,-1.0,5.51,75.8,262144,native,5,-1.0,23.38,1.1514,rss_delta,3
2026-04-06T01:01:26.259649,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-128k,prefill,131072,10,5,ok,63679.43,1290.54,26.78,63.679,10,-1.0,5.51,74.8,262144,native,5,-1.0,25.94,1.0324,rss_delta,3
2026-04-06T01:03:29.182323,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-64k,prefill,65536,10,1,ok,31664.62,1307.25,29.75,31.665,10,-1.0,5.51,81.7,262144,native,5,-1.0,46.13,0.6449,rss_delta,3
2026-04-06T01:04:04.795687,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-64k,prefill,65536,10,2,ok,30312.17,1365.16,30.51,30.312,10,-1.0,5.51,79.4,262144,native,5,-1.0,24.04,1.2691,rss_delta,3
2026-04-06T01:04:40.538349,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-64k,prefill,65536,10,3,ok,30441.14,1360.22,30.09,30.441,10,-1.0,5.51,78.7,262144,native,5,-1.0,26.34,1.1424,rss_delta,3
2026-04-06T01:05:16.832273,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-64k,prefill,65536,10,4,ok,31001.53,1336.08,30.23,31.002,10,-1.0,5.51,80.4,262144,native,5,-1.0,24.88,1.215,rss_delta,3
2026-04-06T01:05:52.779486,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-64k,prefill,65536,10,5,ok,30651.33,1352.65,30.73,30.651,10,-1.0,5.51,81.4,262144,native,5,-1.0,23.93,1.2842,rss_delta,3
2026-04-06T01:19:30.632292,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q8_0,prefill-64k,prefill,65536,10,1,ok,151994.54,1286.75,17.38,151.995,10,-1.0,4.93,60.5,262144,native,5,-1.0,36.73,0.4732,rss_delta,3
2026-04-06T01:20:41.854062,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q8_0,prefill-64k,prefill,65536,10,2,ok,29825.21,1397.29,22.89,29.825,10,-1.0,4.93,63.3,262144,native,5,-1.0,11.29,2.0275,rss_delta,3
