timestamp,hardware_id,comparison_mode,backend,backend_version,model,architecture,total_params,active_params,quantization,track_id,track_type,input_tokens,max_tokens,run_number,run_status,ttft_ms,prefill_tps,gen_tps,total_latency_s,output_tokens,hit_rate,peak_memory_gb,cpu_temp_celsius,context_window,prefill_tps_source,actual_runs,cpu_power_w,gpu_power_w,efficiency_tps_per_w,peak_memory_method,schema_version
2026-04-06T19:36:18.143281,dgx-spark,A,vllm,unknown,qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-512,generation,64,512,1,ok,101.44,630.91,12.94,39.665,512,1.0,0.0,57.7,262144,ttft_estimate,5,-1.0,26.49,0.4885,gpu_smi,3
2026-04-06T19:37:03.262933,dgx-spark,A,vllm,unknown,qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-512,generation,64,512,2,ok,101.21,632.35,12.93,39.69,512,1.0,0.0,51.9,262144,ttft_estimate,5,-1.0,10.33,1.2517,gpu_smi,3
2026-04-06T19:37:48.693858,dgx-spark,A,vllm,unknown,qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-512,generation,64,512,3,ok,559.14,114.46,12.93,40.146,512,1.0,0.0,52.9,262144,ttft_estimate,5,-1.0,10.42,1.2409,gpu_smi,3
2026-04-06T19:38:33.632792,dgx-spark,A,vllm,unknown,qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-512,generation,64,512,4,ok,102.75,622.87,12.95,39.642,512,1.0,0.0,53.7,262144,ttft_estimate,5,-1.0,10.52,1.231,gpu_smi,3
2026-04-06T19:39:18.663916,dgx-spark,A,vllm,unknown,qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-512,generation,64,512,5,ok,98.34,650.8,12.93,39.687,512,1.0,0.0,54.1,262144,ttft_estimate,5,-1.0,10.63,1.2164,gpu_smi,3
2026-04-06T19:45:38.271462,dgx-spark,A,vllm,unknown,qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-2048,generation,64,2048,1,ok,102.16,626.47,12.82,159.825,2048,1.0,0.0,65.4,262144,ttft_estimate,5,-1.0,28.65,0.4475,gpu_smi,3
2026-04-06T19:48:24.458604,dgx-spark,A,vllm,unknown,qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-2048,generation,64,2048,2,ok,101.07,633.22,12.73,160.923,2048,1.0,0.0,60.2,262144,ttft_estimate,5,-1.0,11.49,1.1079,gpu_smi,3
2026-04-06T19:51:10.602435,dgx-spark,A,vllm,unknown,qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-2048,generation,64,2048,3,ok,97.79,654.46,12.74,160.883,2048,1.0,0.0,62.3,262144,ttft_estimate,5,-1.0,11.7,1.0889,gpu_smi,3
2026-04-06T19:53:56.603673,dgx-spark,A,vllm,unknown,qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-2048,generation,64,2048,4,ok,99.62,642.44,12.75,160.726,2048,1.0,0.0,63.7,262144,ttft_estimate,5,-1.0,11.84,1.0769,gpu_smi,3
2026-04-06T19:56:42.694186,dgx-spark,A,vllm,unknown,qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-2048,generation,64,2048,5,ok,102.72,623.05,12.74,160.82,2048,1.0,0.0,64.2,262144,ttft_estimate,5,-1.0,11.99,1.0626,gpu_smi,3
2026-04-06T20:08:29.612571,dgx-spark,A,vllm,unknown,qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-4096,generation,64,4096,1,ok,100.8,634.92,12.66,323.711,4096,1.0,0.0,74.6,262144,ttft_estimate,5,-1.0,30.06,0.4212,gpu_smi,3
2026-04-06T20:13:57.201289,dgx-spark,A,vllm,unknown,qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-4096,generation,64,4096,2,ok,98.37,650.6,12.71,322.286,4096,1.0,0.0,65.9,262144,ttft_estimate,5,-1.0,12.2,1.0418,gpu_smi,3
2026-04-06T20:19:24.089068,dgx-spark,A,vllm,unknown,qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-4096,generation,64,4096,3,ok,107.79,593.75,12.74,321.596,4096,1.0,0.0,69.1,262144,ttft_estimate,5,-1.0,12.51,1.0184,gpu_smi,3
