timestamp,hardware_id,comparison_mode,backend,backend_version,model,architecture,total_params,active_params,quantization,track_id,track_type,input_tokens,max_tokens,run_number,run_status,ttft_ms,prefill_tps,gen_tps,total_latency_s,output_tokens,hit_rate,peak_memory_gb,cpu_temp_celsius,context_window,prefill_tps_source,actual_runs,cpu_power_w,gpu_power_w,efficiency_tps_per_w,peak_memory_method,schema_version
2026-04-07T10:30:14.568004,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-64k,prefill,65536,10,1,ok,7.98,8212531.33,0.0,0.008,0,-1.0,0.03,32.625,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:30:19.585030,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-64k,prefill,65536,10,2,ok,8.41,7792627.82,0.0,0.008,0,-1.0,0.03,32.625,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:30:24.600696,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-64k,prefill,65536,10,3,ok,7.82,8380562.66,0.0,0.008,0,-1.0,0.03,32.625,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:30:29.617439,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-64k,prefill,65536,10,4,ok,7.7,8511168.83,0.0,0.008,0,-1.0,0.03,32.375,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:30:34.635769,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-64k,prefill,65536,10,5,ok,10.49,6247473.78,0.0,0.01,0,-1.0,0.03,32.375,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:31:34.663432,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-16k,prefill,16384,10,1,ok,5.13,3193762.18,0.0,0.005,0,-1.0,0.03,32.625,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:31:39.678383,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-16k,prefill,16384,10,2,ok,6.7,2445373.13,0.0,0.007,0,-1.0,0.03,32.75,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:31:44.695326,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-16k,prefill,16384,10,3,ok,8.97,1826532.89,0.0,0.009,0,-1.0,0.03,32.625,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:31:49.710234,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-16k,prefill,16384,10,4,ok,6.56,2497560.98,0.0,0.007,0,-1.0,0.03,32.625,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:31:54.725044,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-16k,prefill,16384,10,5,ok,6.62,2474924.47,0.0,0.007,0,-1.0,0.03,32.5,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:32:54.752286,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-1k,prefill,1024,10,1,ok,7.36,139130.43,0.0,0.007,0,-1.0,0.03,32.5,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:32:59.766013,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-1k,prefill,1024,10,2,ok,5.87,174446.34,0.0,0.006,0,-1.0,0.03,32.5,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:33:04.779176,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-1k,prefill,1024,10,3,ok,5.49,186520.95,0.0,0.005,0,-1.0,0.03,32.375,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:33:09.792821,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-1k,prefill,1024,10,4,ok,5.82,175945.02,0.0,0.006,0,-1.0,0.03,32.375,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:33:14.809446,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-1k,prefill,1024,10,5,ok,8.79,116496.02,0.0,0.009,0,-1.0,0.03,32.25,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:34:14.839767,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-128k,prefill,131072,10,1,ok,7.45,17593557.05,0.0,0.007,0,-1.0,0.03,32.25,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:34:19.857002,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-128k,prefill,131072,10,2,ok,9.55,13724816.75,0.0,0.01,0,-1.0,0.03,32.25,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:34:24.876506,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-128k,prefill,131072,10,3,ok,11.72,11183617.75,0.0,0.012,0,-1.0,0.03,32.25,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:34:29.893650,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-128k,prefill,131072,10,4,ok,8.79,14911490.33,0.0,0.009,0,-1.0,0.03,32.25,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
2026-04-07T10:34:34.911398,ryzen-ai-max-395,A,ollama,0.20.0,qwen3.5-27b,dense,27B,27B,Q8_0,prefill-128k,prefill,131072,10,5,ok,9.53,13753620.15,0.0,0.01,0,-1.0,0.03,32.375,262144,ttft_estimate,5,-1.0,-1.0,-1.0,rss_delta,3
