timestamp,hardware_id,comparison_mode,backend,backend_version,model,architecture,total_params,active_params,quantization,track_id,track_type,input_tokens,max_tokens,run_number,run_status,ttft_ms,prefill_tps,gen_tps,total_latency_s,output_tokens,hit_rate,peak_memory_gb,cpu_temp_celsius,context_window,prefill_tps_source,actual_runs,cpu_power_w,gpu_power_w,efficiency_tps_per_w,peak_memory_method,schema_version
2026-04-04T16:08:08.224220,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-8192,generation,64,8192,1,ok,250.74,315.54,46.09,66.646,3060,0.3735,0.61,65.0,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:09:55.372701,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-8192,generation,64,8192,2,ok,616.1,265.16,46.2,102.134,4690,0.5725,0.61,75.625,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:11:01.802556,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-8192,generation,64,8192,3,ok,721.2,261.6,33.9,61.427,2058,0.2512,0.61,77.0,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:13:43.050085,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-8192,generation,64,8192,4,ok,1824.77,171.63,33.7,156.245,5204,0.6353,0.61,69.75,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:15:43.436628,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-8192,generation,64,8192,5,ok,2458.54,251.49,51.81,115.383,5851,0.7142,0.61,75.125,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:19:07.568453,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-4096,generation,64,4096,1,ok,1844.21,308.92,55.93,68.932,3752,0.916,0.61,71.625,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:20:16.230386,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-4096,generation,64,4096,2,ok,1677.5,309.99,55.49,63.652,3439,0.8396,0.61,60.875,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:21:24.791764,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-4096,generation,64,4096,3,ok,1865.18,314.89,55.4,63.546,3417,0.8342,0.61,59.875,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:22:44.820518,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-4096,generation,64,4096,4,ok,2236.01,309.61,56.27,75.022,4096,1.0,0.61,58.875,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:24:05.381938,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-4096,generation,64,4096,5,ok,1941.36,301.18,55.64,75.553,4096,1.0,0.61,59.0,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:25:27.049541,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-512,generation,64,512,1,ok,1993.54,309.31,57.39,10.914,512,1.0,0.61,62.625,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:25:42.967505,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-512,generation,64,512,2,ok,2034.19,316.63,57.7,10.908,512,1.0,0.61,53.375,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:25:58.930482,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-512,generation,64,512,3,ok,2182.09,308.55,58.36,10.954,512,1.0,0.61,54.125,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:26:13.362488,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-512,generation,64,512,4,ok,615.88,310.87,58.17,9.423,512,1.0,0.61,54.875,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:26:27.770777,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-512,generation,64,512,5,ok,570.29,313.79,57.98,9.4,512,1.0,0.61,55.75,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:28:39.598877,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-2048,generation,64,2048,1,ok,533.54,314.35,57.89,35.908,2048,1.0,0.61,68.125,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:29:20.544318,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-2048,generation,64,2048,2,ok,510.26,315.43,57.81,35.938,2048,1.0,0.61,60.375,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:30:01.382588,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-2048,generation,64,2048,3,ok,459.4,296.62,57.9,35.831,2048,1.0,0.61,61.25,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:30:42.252964,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-2048,generation,64,2048,4,ok,580.41,299.57,58.04,35.864,2048,1.0,0.61,60.875,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-04T16:31:23.064175,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-35b-a3b,moe,35B,3B,Q4_K_M,gen-2048,generation,64,2048,5,ok,572.15,325.71,58.13,35.805,2048,1.0,0.61,60.125,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
