timestamp,hardware_id,comparison_mode,backend,backend_version,model,architecture,total_params,active_params,quantization,track_id,track_type,input_tokens,max_tokens,run_number,run_status,ttft_ms,prefill_tps,gen_tps,total_latency_s,output_tokens,hit_rate,peak_memory_gb,cpu_temp_celsius,context_window,prefill_tps_source,actual_runs,cpu_power_w,gpu_power_w,efficiency_tps_per_w,peak_memory_method,schema_version
2026-04-06T03:43:51.957806,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-512,generation,64,512,1,ok,6.27,10207.34,0.0,0.006,0,0.0,0.0,48.75,262144,ttft_estimate,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T03:43:57.163807,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-512,generation,64,512,2,ok,4.86,13168.72,0.0,0.005,0,0.0,0.0,62.0,262144,ttft_estimate,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T03:44:02.387558,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-512,generation,64,512,3,ok,9.34,6852.25,0.0,0.009,0,0.0,0.0,58.375,262144,ttft_estimate,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T03:45:20.179546,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-512,generation,64,512,4,ok,956.84,82.77,7.15,72.588,512,1.0,0.0,60.75,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T03:46:37.589603,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-512,generation,64,512,5,ok,895.33,86.36,7.18,72.204,512,1.0,0.0,79.75,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T04:15:06.300355,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-8192,generation,64,8192,1,ok,2998.07,87.03,6.96,478.288,3308,0.4038,0.0,79.75,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T04:22:57.550847,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-8192,generation,64,8192,2,ok,3081.36,84.5,7.02,465.997,3249,0.3966,0.0,74.125,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T04:31:18.123580,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-8192,generation,64,8192,3,ok,1158.16,125.03,7.08,495.259,3496,0.4268,0.0,59.25,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T04:39:54.672392,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-8192,generation,64,8192,4,ok,2581.74,85.45,7.01,511.268,3568,0.4355,0.0,75.5,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T04:47:12.533625,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,gen-8192,generation,64,8192,5,ok,4116.2,78.5,7.04,432.615,3016,0.3682,0.0,75.375,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T04:48:43.637607,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-4k,prefill,4096,10,1,ok,12612.48,277.78,7.72,13.907,10,-1.0,0.03,86.75,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T04:49:02.602588,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-4k,prefill,4096,10,2,ok,12373.24,270.52,7.76,13.662,10,-1.0,0.03,74.625,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T04:49:20.422372,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-4k,prefill,4096,10,3,ok,11322.57,286.71,7.75,12.614,10,-1.0,0.03,74.375,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T04:49:38.352162,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-4k,prefill,4096,10,4,ok,11420.97,284.81,7.75,12.718,10,-1.0,0.03,74.875,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T04:49:56.759857,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-4k,prefill,4096,10,5,ok,11904.57,272.75,7.76,13.193,10,-1.0,0.03,75.5,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T04:52:24.999829,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-16k,prefill,16384,10,1,ok,43028.39,250.73,7.57,44.358,10,-1.0,0.04,84.625,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T04:53:15.434717,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-16k,prefill,16384,10,2,ok,43887.06,249.63,7.51,45.226,10,-1.0,0.04,72.375,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T04:54:00.991372,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-16k,prefill,16384,10,3,ok,38984.72,272.69,7.54,40.312,10,-1.0,0.04,72.125,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T04:54:50.694956,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-16k,prefill,16384,10,4,ok,43168.42,250.01,7.52,44.499,10,-1.0,0.04,71.75,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
