timestamp,hardware_id,comparison_mode,backend,backend_version,model,architecture,total_params,active_params,quantization,track_id,track_type,input_tokens,max_tokens,run_number,run_status,ttft_ms,prefill_tps,gen_tps,total_latency_s,output_tokens,hit_rate,peak_memory_gb,cpu_temp_celsius,context_window,prefill_tps_source,actual_runs,cpu_power_w,gpu_power_w,efficiency_tps_per_w,peak_memory_method,schema_version
2026-04-06T00:31:14.944556,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-27b,dense,27B,27B,Q4_K_M,gen-2048,generation,64,2048,1,ok,768.16,107.94,10.35,198.649,2048,1.0,0.21,90.625,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T00:34:38.290154,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-27b,dense,27B,27B,Q4_K_M,gen-2048,generation,64,2048,2,ok,689.17,113.83,10.36,198.333,2048,1.0,0.21,86.125,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T00:38:02.613603,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-27b,dense,27B,27B,Q4_K_M,gen-2048,generation,64,2048,3,ok,728.95,112.25,10.31,199.314,2048,1.0,0.21,85.875,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T00:41:19.945927,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-27b,dense,27B,27B,Q4_K_M,gen-2048,generation,64,2048,4,ok,925.17,133.46,10.7,192.311,2048,1.0,0.21,52.875,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T00:44:46.343917,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-27b,dense,27B,27B,Q4_K_M,gen-2048,generation,64,2048,5,ok,1124.47,124.96,10.23,201.391,2048,1.0,0.21,87.0,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T00:47:27.613755,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-27b,dense,27B,27B,Q4_K_M,gen-512,generation,64,512,1,ok,1077.43,137.85,10.35,50.549,512,1.0,0.21,91.625,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T00:48:23.327832,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-27b,dense,27B,27B,Q4_K_M,gen-512,generation,64,512,2,ok,965.51,121.4,10.29,50.708,512,1.0,0.21,87.0,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T00:49:19.268899,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-27b,dense,27B,27B,Q4_K_M,gen-512,generation,64,512,3,ok,1489.51,126.45,10.35,50.938,512,1.0,0.21,86.875,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T00:50:14.347248,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-27b,dense,27B,27B,Q4_K_M,gen-512,generation,64,512,4,ok,899.21,137.25,10.41,50.074,512,1.0,0.21,86.875,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
2026-04-06T00:51:10.353565,ryzen-ai-max-395,B,llamacpp,version: 8657 (f1f793ad0),qwen3.5-27b,dense,27B,27B,Q4_K_M,gen-512,generation,64,512,5,ok,1443.21,112.27,10.35,50.908,512,1.0,0.21,87.75,262144,native,5,-1.0,-1.0,-1.0,process_rss,3
